Sample ID	Sample label	U [mg/kg]	Th [mg/kg]	232Th/238U	206Pb [mg/kg]	f206 [%]	207Pb/206Pb	207Pb/206Pb e rel [%]	207Pb/235U	207Pb/235U e rel [%]	206Pb/238U	206Pb/238U e rel [%]	Age dated [ka] (Age, 206Pb/238U Lead-Uranium)	Age e [±] (Age, 206Pb/238U Lead-Uranium)	Age dated [ka] (Age, 207Pb/206Pb Lead-Lead)	Age e [±] (Age, 207Pb/206Pb Lead-Lead)	Perc [%]
ABA/10A	3.1c	683	54	0.08	107.0	0.00	0.08	0.87	1.94	1.6	0.18	1.3	1085000	13000	1120000	17000	3
ABA/10A	3.2c	671	93	0.14	111.0	0.00	0.08	0.56	2.04	1.4	0.19	1.3	1131000	14000	1121000	11000	-1
ABA/10A	4.1c	578	58	0.10	101.0	0.00	0.08	2.30	2.16	4.6	0.20	4.0	1198000	44000	1117000	45000	-7
ABA/10A	4.2c	443	27	0.06	75.8	0.00	0.08	2.60	2.13	3.4	0.20	2.3	1172000	25000	1135000	51000	-3
ABA/10A	5.1c	402	95	0.24	65.8	0.00	0.08	0.87	2.02	1.7	0.19	1.5	1125000	15000	1114000	17000	-1
ABA/10A	6.1c	241	52	0.22	41.5	0.07	0.08	3.40	2.12	5.2	0.20	3.9	1177000	42000	1117000	69000	-5
ABA/10A	7.1rc	689	43	0.06	81.7	0.05	0.07	1.20	1.35	2.2	0.14	1.9	833000	15000	960000	25000	13
ABA/10A	7.2c	327	103	0.33	51.1	0.00	0.08	2.40	1.92	2.8	0.18	1.5	1078000	15000	1105000	47000	2
ABA/10A	8.1c	1578	54	0.04	260.0	0.47	0.08	1.20	2.06	2.1	0.19	1.7	1126000	17000	1156000	24000	3
ABA/10A	8.2rc	466	55	0.12	65.3	2.04	0.08	4.00	1.69	4.4	0.16	1.8	955000	16000	1112000	80000	14
ABA/10A	9.1rc	764	56	0.08	121.0	0.00	0.07	0.99	1.89	2.8	0.18	2.6	1091000	26000	1051000	20000	-4
ABA/10A	9.2c	735	109	0.15	116.0	0.68	0.08	1.40	1.92	2.1	0.18	1.6	1082000	16000	1103000	28000	2
ABA/10A	10.1c	527	82	0.16	83.0	0.18	0.08	0.99	1.96	1.7	0.18	1.4	1082000	14000	1136000	20000	5
ABA/10A	11.1c	334	50	0.16	51.0	0.00	0.08	0.87	1.89	1.6	0.18	1.4	1056000	13000	1125000	17000	6
ABA/10A	12.1c	495	29	0.06	80.5	0.00	0.08	2.60	2.06	2.9	0.19	1.4	1118000	14000	1170000	52000	4
ABA/10A	13.1c	491	78	0.16	82.6	0.13	0.08	1.20	2.08	1.9	0.20	1.5	1151000	15000	1130000	25000	-2
ABA/10A	13.2rc	372	49	0.14	43.1	0.07	0.07	1.20	1.34	1.9	0.13	1.4	816000	11000	979000	25000	17
ABA/10B	1.1r	940	27	0.03	139.0	0.13	0.08	0.79	1.811	1.5	0.17	1.2	1019000	12000	1117000	16000	10
